Question	Answer	Source	Metadata
quand c’est ton anniversaire 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
dis-moi quand est-ce que c’est ton anniversaire 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
dis-moi quand c’est ton anniv	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
dis-moi quand c’est ton anniversaire 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
c’est quand ton anniv	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
c’est quand ton anniversaire 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
quand est ton anniv	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
quand est ton anniversaire 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
quand est-ce que c’est ton anniv	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
es-tu vieille 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
quand c’est ton anniv	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
dis-moi quand est ton anniv	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
es-tu enfant 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
es-tu gamine 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
es-tu gamin 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
es-tu adolescente 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
es-tu adolescent 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
es-tu ado 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
es-tu âgée 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
es-tu âgé 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
tu es vieux 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
quand est-ce que c’est ton anniversaire 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
tu sais c’est quand ton anniversaire 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
quand est-ce que tu es née	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
quand est-ce que tu es né	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
quand t'es née	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
quand tu es née	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
quand es-tu née	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
quand t'es né	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
quand tu es né	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
quand es-tu né	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
quel âge t’as	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
dis-moi quand est-ce que c’est ton anniv	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
tu sais c’est quand ton anniv	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
dis-moi quand est ton anniversaire 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
tu sais quand est ton anniv	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
tu sais quand est ton anniversaire 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
tu sais quand est-ce que c’est ton anniv	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
tu sais quand est-ce que c’est ton anniversaire 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
tu sais quand c’est ton anniv	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
tu sais quand c’est ton anniversaire 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
dis-moi c’est quand ton anniv	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
dis-moi c’est quand ton anniversaire 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
es-tu vieux 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
quel âge as-tu	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
tu es enfant 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
t’es gamine 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
t’es gamin 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
t’es adolescente 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
t’es adolescent 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
t’es ado 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
t’es âgée 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
t’es âgé 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
t’es jeune 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
es-tu jeune 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
t’es vieux 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu es vieille 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
tu es gamine 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
tu es gamin 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
tu es adolescente 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
tu es adolescent 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
tu es ado 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
tu es âgée 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
tu es âgé 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
tu es jeune 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
tu es vieille 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
t’es vieille 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu es enfant 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
est-ce que t’es enfant 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
est-ce que t’es gamine 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
est-ce que t’es gamin 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
est-ce que t’es adolescente 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
est-ce que t’es adolescent 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
est-ce que t’es ado 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
est-ce que t’es âgée 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
est-ce que t’es âgé 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
est-ce que t’es jeune 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
t’es enfant 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
est-ce que t’es vieux 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu es vieux 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu es gamine 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu es gamin 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu es adolescente 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu es adolescent 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu es ado 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu es âgée 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu es âgé 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu es jeune 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
quel jour tu es né	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
est-ce que t’es vieille 	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu es plus jeune que moi	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
est-ce que t’es plus gamin que moi	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
est-ce que t’es plus âgée que moi	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
est-ce que t’es plus âgé que moi	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
est-ce que t’es plus jeune que moi	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
est-ce que t’es plus vieille que moi	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
est-ce que t’es plus vieux que moi	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu es plus gamine que moi	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu es plus gamin que moi	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
quand est-ce que t'es née	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu es plus âgé que moi	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
es-tu plus vieille que moi	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu es plus vieille que moi	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu es plus vieux que moi	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
t’es plus gamine que moi	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
t’es plus gamin que moi	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
t’es plus âgée que moi	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
t’es plus âgé que moi	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
t’es plus jeune que moi	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
t’es plus vieille que moi	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
t’es plus vieux que moi	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu es plus âgée que moi	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
t'es née quel jour	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
tu es née en quelle année	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
t'es né en quelle année	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
tu es né en quelle année	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
t'es née quelle année	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
tu es née quelle année	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
t'es né quelle année	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
tu es né quelle année	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
t'es née quel mois	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
tu es née quel mois	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
est-ce que t’es plus gamine que moi	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
tu es né quel mois	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
es-tu plus vieux que moi	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
tu es née quel jour	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
t'es né quel jour	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
tu es né quel jour	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
es-tu plus gamine que moi	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
es-tu plus gamin que moi	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
es-tu plus âgée que moi	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
es-tu plus âgé que moi	Je n'ai pas vraiment d'âge.	qna_chitchat_Friendly	editorial:chitchat
